SPAC1002.01	mrx11	SPAC1610.05
SPAC1002.02	pom34	mug31
SPAC1002.03c	gls2	
SPAC1002.04c	taf11	
SPAC1002.05c	jmj2	kdm5
SPAC1002.06c	bqt2	mug18,rec23
SPAC1002.07c		ats1
SPAC1002.08c	mtf1	
SPAC1002.09c	dld1	dldh
SPAC1002.10c	sgt1	
SPAC1002.11	gaa1	
SPAC1002.12c		
SPAC1002.13c	psu1	
SPAC1002.14	itt1	
SPAC1002.15c	med6	pmc5
SPAC1002.16c	tna1	
SPAC1002.17c	urg2	
SPAC1002.18	urg3	
SPAC1002.19	urg1	
SPAC1002.20		
SPAC1006.01	psp3	
SPAC1006.02	asa1	
SPAC1006.03c	red1	iss3
SPAC1006.04c	mcp3	mug7
SPAC1006.05c	och1	
SPAC1006.06	rgf2	
SPAC1006.07	tif1	
SPAC1006.08	etd1	
SPAC1006.09	win1	SPAC1250.06c,SPAPJ730.01
SPAC1039.01		
SPAC1039.02		
SPAC1039.03		
SPAC1039.04		
SPAC1039.05c	klf1	
SPAC1039.06		
SPAC1039.07c		
SPAC1039.08		
SPAC1039.09	isp5	
SPAC1039.10	mmf2	hpm1,SPAC922.01
SPAC1039.11c	gto1	SPAC922.02c
SPAC105.01c	kha1	
SPAC105.02c		
SPAC105.03c		
SPAC1071.01c	pta1	SPAC4H3.15c
SPAC1071.02	mms19	
SPAC1071.03c	sil1	
SPAC1071.04c	spc2	
SPAC1071.05	hpm1	
SPAC1071.06	arp9	
SPAC1071.07c	rps1502	rps15-2,rps15
SPAC1071.08	rpp203	rpp2-3,rla6,rpa2
SPAC1071.09c		
SPAC1071.10c	pma1	
SPAC1071.11		
SPAC1071.12c	stp1	SPAC926.01c
SPAC1071.13		
SPAC1093.01	ppr5	SPAC12B10.18
SPAC1093.02	pdx3	
SPAC1093.03	fig4	
SPAC1093.04c	cca1	
SPAC1093.05	hca4	
SPAC1093.06c	dhc1	SPAC30C2.01c
SPAC1093.07		
SPAC10F6.01c	sir1	SPAC4C5.05c
SPAC10F6.02c	prp22	
SPAC10F6.03c	cts1	
SPAC10F6.04	ats1	
SPAC10F6.05c	ubc6	
SPAC10F6.06	vip1	
SPAC10F6.07c	mug94	
SPAC10F6.08c	nht1	hap1,nhp10,nht10
SPAC10F6.09c	psm3	smc3
SPAC10F6.10	rio1	
SPAC10F6.11c	atg17	
SPAC10F6.12c	mam4	
SPAC10F6.13c	caa1	aat2
SPAC10F6.14c		
SPAC10F6.15		
SPAC10F6.16	igo1	mug134
SPAC10F6.17c		SPAC56E4.01c
SPAC110.01	ppk1	SPAC140.05
SPAC110.02	pds5	
SPAC110.03	cdc42	
SPAC110.04c	pss1	ssp1,SPAP14E8.01c
SPAC110.06		SPAC110.05
SPAC1142.01	rqc1	SPAC17G6.18
SPAC1142.02c	sgt2	SPAC17G6.19c
SPAC1142.03c	swi2	SPAC17G6.20c
SPAC1142.04	noc201	noc2
SPAC1142.05	ctr5	
SPAC1142.06	get3	
SPAC1142.07c	vps32	snf7
SPAC1142.08	fhl1	SPAC8C9.01
SPAC1142.09		SPAC8C9.02
SPAC11D3.01c		
SPAC11D3.02c		
SPAC11D3.03c		
SPAC11D3.04c		
SPAC11D3.05	mfs2	
SPAC11D3.06		
SPAC11D3.07c	toe4	
SPAC11D3.08c		
SPAC11D3.09		
SPAC11D3.10		
SPAC11D3.11c		
SPAC11D3.13	hsp3104	
SPAC11D3.14c		
SPAC11D3.15		
SPAC11D3.16c		
SPAC11D3.17		
SPAC11D3.18c		
SPAC11D3.19		
SPAC11D3.20		
SPAC11E3.01c	swr1	SPAC2H10.03c,mod22
SPAC11E3.02c	ync13	
SPAC11E3.03	csm1	pcs1
SPAC11E3.04c	ubc13	spu13,sst5
SPAC11E3.05	sea3	
SPAC11E3.06	map1	
SPAC11E3.07	vma4	
SPAC11E3.08c	nse6	cor1
SPAC11E3.09	pyp3	
SPAC11E3.10		
SPAC11E3.11c	syt22	
SPAC11E3.12		
SPAC11E3.13c	gas5	
SPAC11E3.14		
SPAC11E3.15	rpl22	SPAP8A3.01
SPAC11G7.01	mtl2	
SPAC11G7.02	pub1	
SPAC11G7.03	idh1	glu3
SPAC11G7.04	ubi1	
SPAC11G7.05c	mct1	
SPAC11G7.06c	mug132	
SPAC11H11.01	sst6	cps23
SPAC11H11.02c	mug162	
SPAC11H11.03c		
SPAC11H11.04	mam2	
SPAC11H11.05c	fta6	
SPAC11H11.06	arp2	SPAC22F8.01
SPAC1250.01	snf21	SPAC29A4.21,brg1
SPAC1250.02	mug95	
SPAC1250.03	ubc14	
SPAC1250.04c	atl1	
SPAC1250.05	rpl3002	rpl30-2,rpl30
SPAC1250.07	sfc7	
SPAC1296.01c		SPAC22F3.01
SPAC1296.02	cox4	
SPAC1296.03c	sxa2	
SPAC1296.04	mug65	
SPAC1296.05c	lcp1	
SPAC1296.06	tah18	
SPAC12B10.01c		SPAC31F12.02c,SPAC637.15c
SPAC12B10.02c	pho86	
SPAC12B10.03	bun62	wdr20
SPAC12B10.04	pby1	
SPAC12B10.05	icp55	ppp43
SPAC12B10.06c	emi5	
SPAC12B10.07	acp1	
SPAC12B10.08c	til1	
SPAC12B10.09	pet801	
SPAC12B10.10	nod1	
SPAC12B10.11	exg2	
SPAC12B10.12c	rhp41	rhp4a
SPAC12B10.13	gid8	
SPAC12B10.14c	tea5	ppk2
SPAC12B10.15c	rnh203	
SPAC12B10.16c	mug157	
SPAC12G12.01c	sea4	SPAC630.02
SPAC12G12.02	efg1	SPAC630.01c
SPAC12G12.03	cip2	
SPAC12G12.04	mcp60	hsp60
SPAC12G12.05c	taf9	
SPAC12G12.06c	rcl1	
SPAC12G12.07c		
SPAC12G12.08	mrpl6	
SPAC12G12.09	eti1	
SPAC12G12.10	wdr21	
SPAC12G12.11c	miy1	
SPAC12G12.12	gms2	
SPAC12G12.13c	cid14	
SPAC12G12.14c	pfs2	cin2
SPAC12G12.15	sif3	mrx102,mrx10
SPAC12G12.16c		SPAC18B11.01c
SPAC12G12.17	nce101	
SPAC1327.01c		SPAC1783.09c,SPAC18G6.16c
SPAC139.01c	mkt1	SPAC955.02c
SPAC139.02c	oac1	
SPAC139.03	toe2	
SPAC139.04c	fap2	
SPAC139.05		
SPAC139.06	hat1	SPAC23C4.01,kat1
SPAC1399.01c		
SPAC1399.02		
SPAC1399.03	fur4	
SPAC1399.04c	uck2	
SPAC1399.05c	toe1	
SPAC1399.06		
SPAC13A11.01c	rga8	SPAC2F7.18c
SPAC13A11.02c	erg11	
SPAC13A11.03	mcp7	mug32,mnd1
SPAC13A11.04c	ubp8	
SPAC13A11.05	ysp2	yspII,ppp18
SPAC13A11.06	pdc202	SPAC3H8.01
SPAC13C5.01c	pre9	SPAC31A2.17c
SPAC13C5.02	dre4	
SPAC13C5.03	tht1	
SPAC13C5.04		
SPAC13C5.05c		
SPAC13C5.06c	mug121	
SPAC13C5.07	mre11	rad32
SPAC13D1.01c	Tf2-7	
SPAC13D6.01	pof14	
SPAC13D6.02c	byr3	
SPAC13D6.03c	trm9	
SPAC13D6.04c	btb3	
SPAC13D6.05	alp11	SPAC4G9.01
SPAC13F5.01c	msh1	SPAC23C11.18c
SPAC13F5.02c	taf7	ptr6
SPAC13F5.03c	gld1	
SPAC13F5.04c	vta1	vts1,new6,SPAC13F5.08
SPAC13F5.05	mpd1	
SPAC13F5.06c	sec10	
SPAC13F5.07c	hpz2	
SPAC13G6.01c	rad8	SPAC5H10.14c
SPAC13G6.02c	rps101	rps1-1,rps3a-1
SPAC13G6.03	gpi7	
SPAC13G6.04	tim8	
SPAC13G6.05c	trs33	
SPAC13G6.06c	gcv2	
SPAC13G6.07c	rps601	rps6-1,p27,rps6
SPAC13G6.08	fzr2	
SPAC13G6.09	trs402	tsr4
SPAC13G6.10c	asl1	
SPAC13G6.11c	erg12	
SPAC13G6.12c	chs1	SPAC24B11.01c
SPAC13G6.13		SPAC24B11.02
SPAC13G6.14	aps1	SPAC24B11.03,stw1
SPAC13G6.15c	rcn1	SPAC24B11.04c
SPAC13G7.01c	erg7	SPAC4G9.21c
SPAC13G7.02c	ssa1	hsp70
SPAC13G7.03	upf3	
SPAC13G7.04c	mac1	
SPAC13G7.05	are1	
SPAC13G7.06	met16	
SPAC13G7.07	arb2	
SPAC13G7.08c	crb3	ipi3
SPAC13G7.09c		
SPAC13G7.10	teb1	mug152,tay1,spX
SPAC13G7.11	mba1	
SPAC13G7.12c	eki1	
SPAC13G7.13c	msa1	SPAC6C3.01c
SPAC140.01	sdh2	
SPAC140.02	gar2	
SPAC140.03	arb1	csp12
SPAC140.04	ctr1	
SPAC1420.01c		SPAC56E4.08c
SPAC1420.02c	cct5	
SPAC1420.03	rpn501	rpn5-a,rpn5
SPAC1420.04c	cox1101	cox11,SPAPB17E12.01c
SPAC144.01		
SPAC144.02	iec1	
SPAC144.03	ade2	min10,min3
SPAC144.04c	spe1	
SPAC144.05		
SPAC144.06	apl5	
SPAC144.07c	gpn2	
SPAC144.08	jac1	
SPAC144.09c	sfc2	
SPAC144.10c	gwt1	mug59
SPAC144.11	rps1102	rps11-2,rps11
SPAC144.12	rki1	
SPAC144.13c	srw1	ste9
SPAC144.14	klp8	
SPAC144.15c	cog1	
SPAC144.16	cia2	
SPAC144.17c		
SPAC144.18	vrg4	
SPAC144.19	prl46	SPNCRNA.46,ORF18274
SPAC1486.01	sod2	
SPAC1486.02c	dsc2	ucp14
SPAC1486.03c	ntr1	
SPAC1486.04c	alm1	
SPAC1486.05	nup189	nup98,nup96,nup189N,nup189C
SPAC1486.06	npt1	
SPAC1486.07c	mrpl19	mrp19
SPAC1486.08	cox16	
SPAC1486.09	nob1	
SPAC1486.10	thi1	ntf1,SPAC6G10.01
SPAC1486.11	fmc1	new3
